[1, 1] 8.030529603729338 2.532913680130686 17.971309741089993
[1, 2] 7.554102148195379 2.4120361031102093 16.199992223762067
[1, 3] 7.477913851678871 2.3180148764630606 15.997922779658676
[2, 1] 6.432774679774579 1.9434283526050973 13.898662977097631
[2, 2] 6.530009010045878 1.9464506095977563 14.235108200816066
[2, 3] 6.401120418087155 1.9018242334671265 13.90583829418067
[3, 1] 6.45262231787851 1.9400261057254746 14.019314126459413
[3, 2] 6.544711012272849 1.9484502390833445 14.280149755553806
[3, 3] 6.434848026896648 1.903466784413077 14.009969382541394
