[1, 1] 8.18370454031607 2.602278490006726 18.45012286076495
[1, 2] 7.725130427498873 2.5063029865955815 16.645840442095835
[1, 3] 7.656855489092206 2.414017904148256 16.49117758343255
[2, 1] 6.577795722152386 2.041407265925394 14.301801310455808
[2, 2] 6.72889951976184 2.053400407672683 14.805982721838275
[2, 3] 6.6226199977291484 2.013570769528899 14.553302950634976
[3, 1] 6.6313965405531174 2.042347497011778 14.514908875359666
[3, 2] 6.737964428310865 2.0469081040975374 14.78416635332853
[3, 3] 6.666674346380921 2.013125778147029 14.591529770645737
