[1, 1, 1] 8.730188222044275 2.706111854342784 20.06477163502754
[1, 1, 2] 8.632927217736192 2.6889280337281356 20.104534638359958
[1, 1, 3] 8.598924400759783 2.7685945690889016 19.691687024388877
[1, 1, 4] 8.634373098159482 2.9416715932450526 19.61851717237213
[1, 1, 5] 8.515803172806045 3.0698813264143423 19.676798331447266
[1, 1, 6] 8.408841146552353 2.8864201337990907 19.101661006207145
[1, 1, 7] 8.334215581199 2.9143509644762506 19.158627283018447
[1, 1, 8] 8.377754094992243 2.9409524978395645 19.259249607718733
[1, 2, 1] 8.493444957031226 2.6797791963184254 19.380721744576928
[1, 2, 2] 8.495294565738975 2.7776164688364147 19.34363188038492
[1, 2, 3] 8.492887940329195 2.823415934115928 19.482333282932114
[1, 2, 4] 8.458717127921274 2.8860898710829774 19.105114815895735
[1, 2, 5] 8.356614693966167 2.9939993114546084 18.761103526083758
[1, 2, 6] 8.154959154079286 2.9301062462837932 17.784441877468513
[1, 2, 7] 7.964526585843329 3.0975171279456726 16.492161482921503
[1, 2, 8] 7.867239200915301 2.8641410548647603 16.265083661900835
[1, 3, 1] 8.504424936567593 2.7353997105721746 18.59292379414357
[1, 3, 2] 8.487223225036786 2.8004353216528366 18.819258721278974
[1, 3, 3] 8.446457084625786 2.842591953409161 18.834959393785358
[1, 3, 4] 8.350774295289398 2.918216825961716 18.5931113463958
[1, 3, 5] 8.408922382881844 3.0432403252419986 18.240272734657008
[1, 3, 6] 8.233611747797028 2.9808245273248746 17.979399139438453
[1, 3, 7] 8.00823434134194 3.114605085005056 16.54863377405301
[1, 3, 8] 7.923641555078494 2.887964794743854 16.319677206916644
[1, 4, 1] 8.548862850581557 2.763691082668564 18.83583920693007
[1, 4, 2] 8.586388617158422 2.780780362253957 19.164298790239453
[1, 4, 3] 8.514781301530117 2.811745989171697 19.177413555031976
[1, 4, 4] 8.434879033795557 2.9166673649400923 18.57846210523561
[1, 4, 5] 8.414329169170694 3.043733327277885 18.28407769672277
[1, 4, 6] 8.330453440749343 2.9813513859061453 18.25953818002555
[1, 4, 7] 8.105130938487632 3.098815316185218 17.376186240869256
[1, 4, 8] 8.032721137704968 2.9087998535072743 17.22998196404688
[1, 5, 1] 8.490063714814488 2.7909926052120824 18.640963382818153
[1, 5, 2] 8.59921740173166 2.8111579561443576 19.083527328272012
[1, 5, 3] 8.508640770058966 2.8036741774392393 19.05514180117996
[1, 5, 4] 8.423956510054575 2.893782106238111 18.42539411671177
[1, 5, 5] 8.489129746042776 3.027984404826567 18.351550542708036
[1, 5, 6] 8.384899414607224 2.9824662633028622 18.281247630759488
[1, 5, 7] 8.19111482831179 3.054495135821258 17.713131379867065
[1, 5, 8] 8.114061600480195 2.8610288344461754 17.533243106968584
[1, 6, 1] 8.445597972417087 2.773910502834001 18.559498323962522
[1, 6, 2] 8.565767350251505 2.7977988109035485 19.006610228747174
[1, 6, 3] 8.508284592715809 2.818144456708455 18.970094859717218
[1, 6, 4] 8.474487219026505 2.9173859999991736 18.475881556233826
[1, 6, 5] 8.493092927007972 3.05362048478108 18.320699537037466
[1, 6, 6] 8.425498832527685 2.99354820311691 18.238131385614075
[1, 6, 7] 8.206130086222776 3.1146346679585735 17.583853874287147
[1, 6, 8] 8.13796190790638 2.933128613813439 17.38005617248526
[1, 7, 1] 8.528568836671845 2.802286277302522 18.428029473411566
[1, 7, 2] 8.618933220674032 2.819350257471167 18.918005932783547
[1, 7, 3] 8.535456683411974 2.8901403759261135 19.052512688699295
[1, 7, 4] 8.485201966826718 2.9627193731800023 18.603812388837202
[1, 7, 5] 8.46958953357001 3.1056300958492216 18.260322717382195
[1, 7, 6] 8.438351168860969 3.038830743330127 18.282720547746703
[1, 7, 7] 8.246544093300244 3.1594791724148057 17.716777023133393
[1, 7, 8] 8.19651809031487 2.974400965340935 17.505957579780468
[1, 8, 1] 8.473931990261237 2.7880924539303544 18.42103368337096
[1, 8, 2] 8.517034398810479 2.7633153276545617 18.360223559668434
[1, 8, 3] 8.40938908363344 2.8238040706952927 18.522491611318937
[1, 8, 4] 8.435731388842482 2.9384318870732953 18.357235092165926
[1, 8, 5] 8.419001826668422 3.072126116939151 17.888869613717898
[1, 8, 6] 8.387257261223095 3.0540194045416498 17.81914283155042
[1, 8, 7] 8.175843820698207 3.15876646313753 16.854316280684987
[1, 8, 8] 8.092582863200798 2.9724733411732913 16.722486834279167
[2, 1, 1] 7.30650042228823 2.4075540133102313 16.150254198297436
[2, 1, 2] 7.434461813198351 2.4961513739446084 16.597591630922935
[2, 1, 3] 7.390050999312281 2.5461967946786213 16.62730041658796
[2, 1, 4] 7.388182405114729 2.6543907688928017 16.212021624460156
[2, 1, 5] 7.441982299265663 2.6734360668111687 16.424587619662127
[2, 1, 6] 7.449603860622946 2.6417096182953665 16.5159171382214
[2, 1, 7] 7.465335313432383 2.6288262624763177 16.653712529358447
[2, 1, 8] 7.541123263825235 2.6498538415924577 16.62867920559537
[2, 2, 1] 7.394935555912067 2.3810009840536166 16.68354911295285
[2, 2, 2] 7.483426216777466 2.5639005419174206 17.044308836125936
[2, 2, 3] 7.46517490428575 2.5798414916119476 17.139814021116088
[2, 2, 4] 7.474930765107689 2.6820503037743375 16.67910200094119
[2, 2, 5] 7.544950341079243 2.663918895238213 16.917532687092933
[2, 2, 6] 7.5002533878129976 2.6087186082914675 16.547998445883096
[2, 2, 7] 7.518922372652294 2.624504693321209 16.682430021837284
[2, 2, 8] 7.566170904326767 2.6421310780360665 16.62437688396572
[2, 3, 1] 7.330915455269819 2.408252108891124 15.795766061673568
[2, 3, 2] 7.4552974763279645 2.59970976656079 16.31506637275112
[2, 3, 3] 7.4613533748512495 2.5969425374272 16.673279300628955
[2, 3, 4] 7.449742976754455 2.703978149398233 16.030860260508632
[2, 3, 5] 7.53876733935317 2.6888664657388284 16.491865832107475
[2, 3, 6] 7.465435214146247 2.6361162300844017 16.245784632846384
[2, 3, 7] 7.472935740693568 2.654447649133589 16.431951457541732
[2, 3, 8] 7.510598948018253 2.6632891190229238 16.36963804405331
[2, 4, 1] 7.3701739325852635 2.426968857466208 16.228088536698287
[2, 4, 2] 7.507839646146799 2.592633718711752 16.692660985455202
